type,title,description,source,rank,scrapeid,timestamp,uniquelink
Top Trends,Rudy Giuliani,Giuliani resigns from law firm due to 'pressing demands' of Mueller…,https://www.facebook.com/topic/Rudy-Giuliani/105611002805494?source=whfrt&position=2&trqid=6554017346818033159&impressionguid=0aZqEO1qK6zqCRDO4,2,20,5/10/2018 13:14,thehill.com
Top Trends,Spotify,Spotify removes R Kelly from playlists due to ‘hateful conduct’ policy,https://www.facebook.com/topic/Spotify/112305882114708?source=whfrt&position=3&trqid=6554017346818033159&impressionguid=0aZqEO1qK6zqCRDO4,3,20,5/10/2018 13:14,thehill.com
Top Trends,US Geological Survey,"Hawaii volcano on verge of new eruption that could send ash, sulfur dioxide spewing",https://www.facebook.com/topic/US-Geological-Survey/108131545882056?source=whrt&position=10&trqid=6554017351101419299&impressionguid=0aZqEO1qK6zqCRDO4,10,20,5/10/2018 13:14,usatoday.com
Top Trends,"Warsaw, North Carolina",Video shows cop slamming Black man in prom tux to the ground at Waffle House,https://www.facebook.com/topic/Warsaw-North-Carolina/103798432991635?source=whrt&position=7&trqid=6554017351101419299&impressionguid=0aZqEO1qK6zqCRDO4,7,20,5/10/2018 13:14,thegrio.com
Top Trends,Yale University,Yale officers admonished the white student who called police on a napping black student,https://www.facebook.com/topic/Yale-University/105580046141640?source=whrt&position=6&trqid=6554017351101419299&impressionguid=0aZqEO1qK6zqCRDO4,6,20,5/10/2018 13:14,cnn.com
Top Trends,Australian Broadcasting Corporation,Expert claims parents should ask babies consent before changing their nappies,https://www.facebook.com/topic/Australian-Broadcasting-Corporation/110264702329659?source=whrt&position=8&trqid=6554019928279110856&impressionguid=0pPzGuQZOO3dj3IVb,8,21,5/10/2018 13:24,msn.com
Top Trends,Chuck Schumer,Schumer trolls Trump after tweet attack with #BeBest hashtag,https://www.facebook.com/topic/Chuck-Schumer/104048026298236?source=whrt&position=7&trqid=6554019928279110856&impressionguid=0pPzGuQZOO3dj3IVb,7,21,5/10/2018 13:24,thehill.com
Top Trends,"Greenwood County, South Carolina",White Man Is Accused of Seeking a Hit Man to Lynch His Black…,https://www.facebook.com/topic/Greenwood-County-South-Carolina/103147426391509?source=whfrt&position=1&trqid=6554019923860318337&impressionguid=0pPzGuQZOO3dj3IVb,1,21,5/10/2018 13:24,nytimes.com
Top Trends,House Intelligence Committee,House Democrats release Russian-bought Facebook ads to show 'malign' effect on 2016 election,https://www.facebook.com/topic/House-Intelligence-Committee/772439709519873?source=whrt&position=5&trqid=6554019928279110856&impressionguid=0pPzGuQZOO3dj3IVb,5,21,5/10/2018 13:24,cnbc.com
Top Trends,North Korea–United States Summit,Trump says he will meet Kim on June 12 in Singapore,https://www.facebook.com/topic/North-KoreaUnited-States-Summit/109213779097035?source=whrt&position=9&trqid=6554019928279110856&impressionguid=0pPzGuQZOO3dj3IVb,9,21,5/10/2018 13:24,thehill.com
Top Trends,Rudy Giuliani,Giuliani resigns from law firm due to 'pressing demands' of Mueller…,https://www.facebook.com/topic/Rudy-Giuliani/105611002805494?source=whfrt&position=2&trqid=6554019923860318337&impressionguid=0pPzGuQZOO3dj3IVb,2,21,5/10/2018 13:24,thehill.com
Top Trends,Spotify,Spotify removes R Kelly from playlists due to ‘hateful conduct’ policy,https://www.facebook.com/topic/Spotify/112305882114708?source=whrt&position=4&trqid=6554019928279110856&impressionguid=0pPzGuQZOO3dj3IVb,4,21,5/10/2018 13:24,thehill.com
Top Trends,US Geological Survey,"Hawaii volcano on verge of new eruption that could send ash, sulfur dioxide spewing",https://www.facebook.com/topic/US-Geological-Survey/108131545882056?source=whrt&position=10&trqid=6554019928279110856&impressionguid=0pPzGuQZOO3dj3IVb,10,21,5/10/2018 13:24,usatoday.com
Top Trends,"Warsaw, North Carolina",Video shows cop slamming Black man in prom tux to the ground at…,https://www.facebook.com/topic/Warsaw-North-Carolina/103798432991635?source=whfrt&position=3&trqid=6554019923860318337&impressionguid=0pPzGuQZOO3dj3IVb,3,21,5/10/2018 13:24,thegrio.com
Top Trends,Yale University,Yale officers admonished the white student who called police on a napping black student,https://www.facebook.com/topic/Yale-University/105580046141640?source=whrt&position=6&trqid=6554019928279110856&impressionguid=0pPzGuQZOO3dj3IVb,6,21,5/10/2018 13:24,cnn.com
