type,title,description,source,trendlink,rank,scrapeid,timestamp
Top Trends,"Damascus, Syria",Israel Launches Air Strike On Iran Base Near Damascus,zerohedge.com,https://www.facebook.com/topic/Damascus-Syria/104167112952079?source=whrt&position=4&trqid=6553369202311377176&impressionguid=0MiRcwje7zIEuObtm,4,1,2018-05-08T19:19:36.326307
Top Trends,Android P,Android blatantly copies the iPhone X navigation gestures,social.techcrunch.com,https://www.facebook.com/topic/Android-P/112145925469595?source=whrt&position=5&trqid=6553369202311377176&impressionguid=0MiRcwje7zIEuObtm,5,1,2018-05-08T19:19:36.326307
Top Trends,Uber,Uber reveals its latest ‘flying car’ prototype for aerial taxi service,msn.com,https://www.facebook.com/topic/Uber/176794885724034?source=whrt&position=6&trqid=6553369202311377176&impressionguid=0MiRcwje7zIEuObtm,6,1,2018-05-08T19:19:36.326307
Top Trends,Facebook,Facebook undergoes a huge executive reshuffle,social.techcrunch.com,https://www.facebook.com/topic/Facebook/254174568100078?source=whrt&position=7&trqid=6553369202311377176&impressionguid=0MiRcwje7zIEuObtm,7,1,2018-05-08T19:19:36.326307
Top Trends,Donald Trump,Trump wants to cut Children Health Insurance Spending,msn.com,https://www.facebook.com/topic/Donald-Trump/108176935877308?source=whrt&position=8&trqid=6553369202311377176&impressionguid=0MiRcwje7zIEuObtm,8,1,2018-05-08T19:19:36.326307
Top Trends,Walmart,Walmart Limits Opioid Prescriptions In Bid To Curb Epidemic,huffingtonpost.com,https://www.facebook.com/topic/Walmart/106242219413347?source=whrt&position=9&trqid=6553369202311377176&impressionguid=0MiRcwje7zIEuObtm,9,1,2018-05-08T19:19:36.326307
Top Trends,Dish Network,"Did a Dish Network telemarketer call you? You could get $1,200 from…",usatoday.com,https://www.facebook.com/topic/Dish-Network/137679492922549?source=whrt&position=10&trqid=6553369202311377176&impressionguid=0MiRcwje7zIEuObtm,10,1,2018-05-08T19:19:36.326307
Politics,Michael Cohen,Mueller's team questions Russian oligarch about payments to Cohen,cnn.com,https://www.facebook.com/topic/Michael-Cohen/109747645711336?source=whfrt&position=1001&trqid=6553369202344979434&impressionguid=047nbtie4gbyArf5o,1,1,2018-05-08T19:19:40.445974
Politics,"Damascus, Syria",Israel Launches Air Strike On Iran Base Near Damascus,zerohedge.com,https://www.facebook.com/topic/Damascus-Syria/104167112952079?source=whfrt&position=1002&trqid=6553369202344979434&impressionguid=047nbtie4gbyArf5o,2,1,2018-05-08T19:19:40.445974
Politics,Donald Trump,Trump wants to cut Children Health Insurance Spending,msn.com,https://www.facebook.com/topic/Donald-Trump/108176935877308?source=whfrt&position=1003&trqid=6553369202344979434&impressionguid=047nbtie4gbyArf5o,3,1,2018-05-08T19:19:40.445974
Politics,Seattle City Council,Stakes high as Seattle considers business tax for homeless,theprovince.com,https://www.facebook.com/topic/Seattle-City-Council/1771549883083604?source=whfrt&position=1004&trqid=6553369202344979434&impressionguid=047nbtie4gbyArf5o,4,1,2018-05-08T19:19:40.445974
Politics,Oliver North,Retired Marine Lt. Col. Oliver North is named president of the NRA,stripes.com,https://www.facebook.com/topic/Oliver-North/103722076332497?source=whfrt&position=1005&trqid=6553369202344979434&impressionguid=047nbtie4gbyArf5o,5,1,2018-05-08T19:19:40.445974
Politics,Nikol Pashinyan,Armenia: Nikol Pashinyan elected as new prime minister,aljazeera.com,https://www.facebook.com/topic/Nikol-Pashinyan/112145495468070?source=whfrt&position=1006&trqid=6553369202344979434&impressionguid=047nbtie4gbyArf5o,6,1,2018-05-08T19:19:40.445974
Politics,Scott Pruitt,White House aides telling Trump to fire Pruitt: report,thehill.com,https://www.facebook.com/topic/Scott-Pruitt/137241299688053?source=whfrt&position=1007&trqid=6553369202344979434&impressionguid=047nbtie4gbyArf5o,7,1,2018-05-08T19:19:40.445974
Politics,Cyberwarfare by Russia,"Report: Russians Posed as ISIS Hackers, Threatened U.S. Military Wives",thedailybeast.com,https://www.facebook.com/topic/Cyberwarfare-by-Russia/111818422168340?source=whfrt&position=1008&trqid=6553369202344979434&impressionguid=047nbtie4gbyArf5o,8,1,2018-05-08T19:19:40.445974
Politics,Patrick J. Conroy,Father Patrick Conroy sworn back in as House chaplain,msn.com,https://www.facebook.com/topic/Patrick-J-Conroy/124652437579549?source=whfrt&position=1009&trqid=6553369202344979434&impressionguid=047nbtie4gbyArf5o,9,1,2018-05-08T19:19:40.445974
